date,S_USDJPY,S_USDTRY,PPP_JPY,PPP_TRY,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,S_TRYJPY,PPP_TRYJPY,d_TRYJPY
2022-01,114.84,13.54,92.5,4.975,0.21633121073448375,1.0012228968735728,0.4058513692026855,0.18952015846820178,-0.5953715276708873,8.481536189069425,18.592964824120603,-0.784891686139089
2022-02,115.27,13.63,92.5,4.975,0.22006855809454168,1.0078478750978854,0.409305477730809,0.18923691963626735,-0.5985423973670764,8.45707997065297,18.592964824120603,-0.7877793170033437
2022-03,118.46,14.6,92.5,4.975,0.24736670633043956,1.0765961581037347,0.44132095481139144,0.19395424848095186,-0.6352752032923433,8.113698630136986,18.592964824120603,-0.8292294517732951
2022-04,126.05,14.71,92.5,4.975,0.3094700091155494,1.0841021640027901,0.46452405770611316,0.1550540485905638,-0.619578106296677,8.569000679809653,18.592964824120603,-0.7746321548872408
2022-05,128.86,15.57,92.5,4.975,0.33151789919211694,1.1409206152353508,0.4908128381424892,0.1592949389503723,-0.6501077770928615,8.27617212588311,18.592964824120603,-0.809402716043234
2022-06,133.89,16.97,92.5,4.975,0.3698099227909087,1.2270217086355788,0.5322772104754958,0.16246728768458715,-0.694744498160083,7.8898055391868,18.592964824120603,-0.8572117858446701
2022-07,136.46,17.41,92.5,4.975,0.38882288686889815,1.2526193831695416,0.5471474233461465,0.15832453647724842,-0.7054719598233951,7.838024124066629,18.592964824120603,-0.8637964963006434
2022-08,135.29,18.02,92.5,4.975,0.3802119780968892,1.287056881569636,0.5557562865555083,0.17554430845861915,-0.7313005950141275,7.507769145394007,18.592964824120603,-0.9068449034727464
2022-09,142.78,18.3,92.5,4.975,0.43409633955593496,1.3024756892368192,0.5788573429309181,0.1447610033749831,-0.723618346305901,7.802185792349727,18.592964824120603,-0.8683793496808841
2022-10,146.9,18.58,92.5,4.975,0.4625434386614521,1.3176603627751364,0.5934012671455294,0.13085782848407743,-0.7242590956296069,7.906350914962326,18.592964824120603,-0.8551169241136841
2022-11,142.2,18.6,92.5,4.975,0.4300258728507609,1.3187362101085995,0.5829206943197868,0.15289482146902592,-0.7358155157888128,7.645161290322579,18.592964824120603,-0.8887103372578387
2022-12,134.98,18.65,92.5,4.975,0.3779179747968809,1.3214207754792684,0.5664462500920497,0.18852827529516888,-0.7549745253872185,7.237533512064343,18.592964824120603,-0.9435028006823876
2023-01,130.34,18.78,92.84,8.074,0.33926883949799796,0.8441434513493679,0.39447076361578864,0.055201924117790645,-0.44967268773357927,6.940362087326943,11.498637602179837,-0.50487461185137
2023-02,133.09,18.85,92.84,8.074,0.3601480096922285,0.8478638914632707,0.4026706337184997,0.04252262402627124,-0.445193257744771,7.060477453580901,11.498637602179837,-0.48771588177104236
2023-03,133.63,18.99,92.84,8.074,0.36419720538673317,0.8552635023934454,0.4064869025933929,0.042289697206659684,-0.4487765998000525,7.0368615060558195,11.498637602179837,-0.4910662970067121
2023-04,133.45,19.34,92.84,8.074,0.3628492944442967,0.8735264675943991,0.4121252540128986,0.0492759595686019,-0.4614012135815005,6.900206825232678,11.498637602179837,-0.5106771731501025
2023-05,135.87,19.74,92.84,8.074,0.3808209648299959,0.8939980115745864,0.42493965880152745,0.04411869397153153,-0.46905835277305896,6.882978723404256,11.498637602179837,-0.5131770467445904
2023-06,141.43,23.54,92.84,8.074,0.4209273136261722,1.0700520794013815,0.4969931310091846,0.07606581738301237,-0.573058948392197,6.008071367884453,11.498637602179837,-0.6491247657752093
2023-07,141.25,26.43,92.84,8.074,0.41965378862031405,1.1858507061854486,0.5351681649352542,0.11551437631494017,-0.6506825412501944,5.344305713204692,11.498637602179837,-0.7661969175651346
2023-08,145.31,26.92,92.84,8.074,0.44799180992636817,1.204220482345778,0.5507374307573821,0.1027456208310139,-0.6534830515883959,5.397845468053491,11.498637602179837,-0.7562286724194098
2023-09,147.59,26.99,92.84,8.074,0.46356057778744814,1.2068174045991642,0.5567926607955375,0.09323208300808931,-0.6500247438036267,5.468321600592812,11.498637602179837,-0.743256826811716
2023-10,149.53,27.86,92.84,8.074,0.476619460189516,1.2385429459209105,0.5717208020368089,0.09510134184729284,-0.6668221438841017,5.367193108399139,11.498637602179837,-0.7619234857313945
2023-11,151.65,28.65,92.84,8.074,0.49069765272835386,1.2665044207299994,0.5857340244861177,0.09503637175776387,-0.6807703962438816,5.293193717277488,11.498637602179837,-0.7758067680016456
2023-12,142.81,29.09,92.84,8.074,0.43063749405860546,1.2817454500763612,0.5707943147116555,0.1401568206530501,-0.7109511353647057,4.909247163973874,11.498637602179837,-0.8511079560177557
2024-01,145.97,30.07,93.2,12.55,0.4486533994509412,0.8738073314226448,0.4408202436245287,-0.00783315582641253,-0.4329870877981161,4.8543398736282,7.426294820717131,-0.4251539319717037
2024-02,149.51,30.78,93.2,12.55,0.4726155585342908,0.8971444628329401,0.45658667378907697,-0.01602888474521384,-0.44055778904386317,4.857374918778427,7.426294820717131,-0.4245289042986495
2024-03,149.72,32.03,93.2,12.55,0.47401916134468264,0.936952298043274,0.47032381979598553,-0.0036953415486971064,-0.4666284782472884,4.674367780206056,7.426294820717131,-0.4629331366985912
2024-04,153.84,32.37,93.2,12.55,0.5011653795889788,0.94751140236036,0.48289226064977964,-0.018273118939199178,-0.46461914171058044,4.752548656163114,7.426294820717131,-0.4463460227713813
2024-05,155.77,32.26,93.2,12.55,0.513632838646969,0.9441074071192699,0.48591341525541293,-0.027719423391556013,-0.4581939918638569,4.828580285182889,7.426294820717131,-0.43047456847230087
2024-06,157.98,32.59,93.2,12.55,0.5277207210447274,0.9542848272716773,0.4940018494388016,-0.03371887160592587,-0.4602829778328757,4.847499232893525,7.426294820717131,-0.4265641062269499
2024-07,157.91,32.91,93.2,12.55,0.5272775287870063,0.9640558973774555,0.4971111420548206,-0.030166386732185708,-0.4669447553226349,4.798237617745366,7.426294820717131,-0.4367783685904492
2024-08,146.33,33.68,93.2,12.55,0.4511166234127897,0.9871835237963331,0.47943338240304095,0.02831675899025125,-0.5077501413932922,4.344714964370547,7.426294820717131,-0.5360669003835434
2024-09,143.15,34.06,93.2,12.55,0.4291453098525786,0.9984030096567494,0.47584943983644273,0.046704129983864084,-0.5225535698203068,4.202877275396359,7.426294820717131,-0.5692576998041708
2024-10,149.67,34.26,93.2,12.55,0.47368514884951,1.0042578273181808,0.4926476587225636,0.01896250987305359,-0.5116101685956173,4.368651488616462,7.426294820717131,-0.5305726784686708
2024-11,153.5,34.46,93.2,12.55,0.4989528453357063,1.0100785655219906,0.503010470285899,0.004057624950192684,-0.5070680952360916,4.454439930354034,7.426294820717131,-0.5111257201862842
2024-12,153.8,34.99,93.2,12.55,0.5009053353799982,1.0253416408018037,0.5087489920606006,0.007843656680602459,-0.516592648741203,4.395541583309517,7.426294820717131,-0.5244363054218057
2025-01,156.69,35.52,93.2,16.63,0.5195216094247714,0.7588876249191332,0.4261364114479682,-0.09338519797680322,-0.332751213471165,4.4113175675675675,5.604329524954902,-0.23936601549436162
2025-02,151.86,36.17,93.2,16.63,0.4882113220935423,0.7770217527591704,0.42174435828423756,-0.06646696380930472,-0.35527739447493284,4.198507050041471,5.604329524954902,-0.2888104306656282
2025-03,149.18,37.09,93.2,16.63,0.4704059088354718,0.8021390982966633,0.42418166904404503,-0.04622423979142676,-0.37795742925261827,4.022108385009436,5.604329524954902,-0.33173318946119174
2025-04,144.35,38.13,93.2,16.63,0.4374931844173985,0.8297930806646361,0.42242875502734484,-0.015064429390053627,-0.4073643256372912,3.7857330186205083,5.604329524954902,-0.3922998962472378
2025-05,144.71,38.83,93.2,16.63,0.4399840180583559,0.8479848505387396,0.4293229561990319,-0.010661061859324064,-0.4186618943397078,3.7267576616018547,5.604329524954902,-0.40800083248038377
2025-06,144.58,39.48,93.2,16.63,0.43908526588060565,0.8645859213604445,0.4345570624136834,-0.00452820346692225,-0.43002885894676113,3.66210739614995,5.604329524954902,-0.425500655479839
2025-07,146.81,40.24,93.2,16.63,0.4543915120598234,0.8836532325866475,0.446014914882157,-0.008376597177666442,-0.4376383177044905,3.6483598409542743,5.604329524954902,-0.42926172052682415
2025-08,147.51,40.86,93.2,16.63,0.45914824840041213,0.8989432961846398,0.45269718152835065,-0.006451066872061502,-0.4462461146562891,3.610132158590308,5.604329524954902,-0.4397950477842277
2025-09,147.95,41.35,93.2,16.63,0.462126657154673,0.9108641282648641,0.4576635951398457,-0.0044630620148273055,-0.4532005331250184,3.5779927448609428,5.604329524954902,-0.4487374711101912
2025-10,151.09,41.85,93.2,16.63,0.48312796406020403,0.9228835037306482,0.4686704892636174,-0.01445747479658662,-0.45421301446703083,3.610274790919952,5.604329524954902,-0.4397555396704442
2025-11,154.34,42.2,93.2,16.63,0.5044102393379114,0.9312119278371299,0.47854072239168044,-0.025869516946230964,-0.4526712054454494,3.6573459715639807,5.604329524954902,-0.4268016884992187
