date,S_USDJPY,S_USDTRY
2022-01,114.84,13.54
2022-02,115.27,13.63
2022-03,118.46,14.60
2022-04,126.05,14.71
2022-05,128.86,15.57
2022-06,133.89,16.97
2022-07,136.46,17.41
2022-08,135.29,18.02
2022-09,142.78,18.30
2022-10,146.90,18.58
2022-11,142.20,18.60
2022-12,134.98,18.65
2023-01,130.34,18.78
2023-02,133.09,18.85
2023-03,133.63,18.99
2023-04,133.45,19.34
2023-05,135.87,19.74
2023-06,141.43,23.54
2023-07,141.25,26.43
2023-08,145.31,26.92
2023-09,147.59,26.99
2023-10,149.53,27.86
2023-11,151.65,28.65
2023-12,142.81,29.09
2024-01,145.97,30.07
2024-02,149.51,30.78
2024-03,149.72,32.03
2024-04,153.84,32.37
2024-05,155.77,32.26
2024-06,157.98,32.59
2024-07,157.91,32.91
2024-08,146.33,33.68
2024-09,143.15,34.06
2024-10,149.67,34.26
2024-11,153.50,34.46
2024-12,153.80,34.99
2025-01,157.00,42.30
